idOrder, idProduct, quantity, unitPrice
1,36,1,500
2,92,1,100
3,7,1,1700
4,50,3,3000
4,78,1,499
5,68,1,999
6,22,2,3000
6,78,1,499
6,12,1,2500
7,81,5,2000
8,12,2,2500
9,94,3,200
10,59,1,9999
11,85,4,1500
12,28,1,500
13,2,1,1500
14,42,1,2000
14,70,1,1599
15,89,5,1499
16,16,2,1900
17,73,1,699
18,8,2,2000
19,55,1,36649
20,99,3,40
21,7,1,1700
22,32,5,700
23,56,1,17749
24,78,5,499
24,10,1,1200
24,89,1,1499
24,37,1,2500
25,19,4,2500
26,41,1,5000
27,93,3,30
28,12,1,2500
29,65,5,300
29,77,2,250
30,28,1,500
31,81,1,800
32,67,1,1245
33,96,1,200
34,24,1,2000
35,60,1,59990
35,90,1,120
36,38,1,800
37,52,1,34699
38,34,3,800
39,85,1,2500
40,24,1,2000
41,99,5,40
42,56,2,1245
43,3,1,2000
44,71,1,735
45,13,2,2000
46,42,1,2000
47,77,2,250
48,91,5,100
49,1,5,500
50,67,1,1245
51,43,2,7000
51,19,1,2500
51,30,3,1500
52,99,3,40
53,12,2,2500
54,87,1,1500
55,1,1,500
56,76,1,100
57,25,1,500
58,63,2,1120
59,56,2,17749
60,34,1,800
61,77,4,250
62,19,1,2500
63,92,1,2000
64,9,1,1200
65,44,4,1500
66,71,3,735
66,1,1,500
66,100,1,180
67,65,1,300
68,80,1,1299
69,27,4,1000
70,38,1,800
71,91,3,100
72,13,1,2000
73,19,1,2500
74,57,1,18199
75,36,1,500
76,12,1,2500
77,76,2,100
78,89,1,1499
79,23,1,1500
80,41,1,5000
81,98,1,100
82,5,5,800
83,83,1,1200
84,61,2,120
85,70,1,1599
85,28,1,500
85,45,1,6000
85,42,1,2000
85,21,4,800
86,44,1,1500
87,17,4,1700
88,32,1,700
89,92,3,50
90,58,1,12249
91,99,2,40
92,73,4,815
93,40,3,400
94,80,4,1299
95,13,1,2000
96,62,4,375
96,31,1,1500
97,79,1,399
98,27,1,1000
99,46,1,1000
100,100,5,180
